diagnosis_code,diagnosis_desc,fce,admissions,emergency,waiting_list,mean_los_days,mean_age,year,baseline_admissions,baseline_waiting,pct_change_admissions,pct_change_waiting,backlog_trap
Z30-Z39,Health services in circumstances related to reproduction,592524,592524,7348,69032,1.6,10,2002,539391,20477,9.85055368,237.1196953,FALSE
Z40-Z54,Persons encountering health services for specific care,141925,141925,11746,83306,10.3,51,2002,127826,84332,11.02983744,-1.216620026,FALSE
Z55-Z65,Potential health hazards reltd. to socioeconomic & psychosoc.l,1003,1003,629,104,13.7,34,2002,732,11,37.02185792,845.4545455,FALSE
Z70-Z76,Persons encountering health services in other circs.,66454,66454,10828,14648,9,40,2002,22958,3447,189.4590121,324.9492312,FALSE
Z80-Z99,Persons with potential health hazards related to family,14952,14952,1083,7163,8.2,46,2002,9943,1391,50.37714975,414.953271,FALSE
A00-A09,Intestinal infectious diseases,42944,42944,33578,2258,4.4,28,2003,159034,35016,-72.9969692,-93.55151931,FALSE
A15-A19,Tuberculosis,5609,5609,2606,773,17.8,43,2003,2225,529,152.0898876,46.12476371,FALSE
A20-A49,Certain bacterial diseases,29587,29587,17335,541,16.1,61,2003,156114,2491,-81.04782403,-78.28181453,FALSE
A50-A64,Infections with predominantly sexual mode of transmission,2812,2812,631,1858,5.3,38,2003,2405,1411,16.92307692,31.67965982,FALSE
A65-A79,Other infectious and parasitic disorders,295,295,142,55,5.3,39,2003,662,161,-55.43806647,-65.83850932,FALSE
A80-A89,Viral infections of the central nervous system,2769,2769,1921,88,9.1,33,2003,3913,86,-29.2358804,2.325581395,FALSE
A90-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,65,65,48,0,4.3,36,2003,192,6,-66.14583333,-100,FALSE
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,12590,12590,7370,3286,5.5,37,2003,17456,3352,-27.87580202,-1.968973747,FALSE
B15-B19,Viral hepatitis,7153,7153,1371,2342,5.3,42,2003,2394,532,198.7886383,340.2255639,FALSE
B20-B24,Human imrnunodeficiency virus [HIV] disease,4612,4612,1642,915,15.3,39,2003,,,,,FALSE
B25-B34,Other viral diseases,45060,45060,41744,414,1.4,12,2003,118995,840,-62.13286273,-50.71428571,FALSE
B35-B49,Mycoses,3886,3886,1652,941,8.2,47,2003,8470,3847,-54.12042503,-75.53938134,FALSE
B50-B64,Protozoal diseases,2626,2626,1909,100,4.6,35,2003,2209,213,18.87732005,-53.05164319,FALSE
B65-B83,Helminthiases,433,433,199,131,4.7,28,2003,887,466,-51.1837655,-71.88841202,FALSE
B85-B99,Other infectious and parasitic diseases,925,925,580,90,8.3,43,2003,3536,78,-73.84049774,15.38461538,FALSE
C00-C14,Malignant neoplasm of liporal cavity and pharynx,13237,13237,1852,7049,9,59,2003,,,,,FALSE
C15-C26,Malignant neoplasm of digestive organs,262215,262215,31473,84409,11.3,67,2003,268681,101300,-2.406571362,-16.67423495,FALSE
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,90784,90784,21598,24013,10.5,67,2003,115023,37403,-21.07317667,-35.79926744,FALSE
C40-C41,Malignant neoplasm of bone and articular cartilage,6152,6152,1058,1805,7,28,2003,7261,1781,-15.27337832,1.347557552,FALSE
C43-C44,Malignant neoplasms of skin,61960,61960,1245,55342,4.6,70,2003,154472,144205,-59.88917085,-61.62268992,FALSE
C45-C49,Malignant neoplasms of mesothelial and soft tissue,14093,14093,2683,4866,7.9,55,2003,23035,7390,-38.81918819,-34.15426252,FALSE
C51-C58,Malignant neoplasms of female genital organs,57011,57011,7131,23251,7.7,61,2003,69426,28271,-17.88234955,-17.75671182,FALSE
C60-C63,Malignant neoplasms of male genital organs,45252,45252,8051,21432,8.3,68,2003,88825,48164,-49.0548832,-55.50203471,FALSE
C64-C68,Malignant neoplasms of urinary tract,91233,91233,7231,44537,6.7,70,2003,90988,49193,0.269266277,-9.464761247,FALSE
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",18489,18489,5038,4222,11.5,38,2003,21270,6187,-13.07475317,-31.76014223,FALSE
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",222770,222770,24044,81314,9.1,54,2003,387191,80770,-42.46508829,0.673517395,FALSE
D00-D48,In situ & benign neoplasms and others of uncertainty,291840,291840,14449,206276,5.4,55,2003,430698,299287,-32.24022401,-31.07752759,FALSE
D50-D64,Anaemias,140344,140344,35129,45647,6.7,59,2003,299823,136373,-53.19104939,-66.52783176,FALSE
D65-D89,Diseases of the blood and blood-forming organs,56584,56584,15528,18148,5.5,45,2003,94222,20255,-39.94608478,-10.40236979,FALSE
E00-E07,Disorders of thyroid gland,11209,11209,1879,7366,5.3,51,2003,16596,10399,-32.45962883,-29.16626599,FALSE
E10-E14,Diabetes Mellitus,68099,68099,31860,15407,9.8,52,2003,56931,4961,19.61672902,210.5623866,FALSE
E15-E90,Endocrine nutritional and metabolic diseases,91002,91002,32537,24769,8.8,51,2003,236419,51871,-61.50816982,-52.2488481,FALSE
F00-F03,Dementia,27457,27457,12293,2336,75.7,81,2003,10270,332,167.3515093,603.6144578,FALSE
F04-F09,Other organic including symptomatic mental disorders,5289,5289,3120,253,39.8,71,2003,23314,2250,-77.31406022,-88.75555556,FALSE
F10-F19,Mental and behavioural disorders due to psychoactive subst.,46192,46192,30502,5279,11.9,40,2003,50997,753,-9.42212287,601.062417,FALSE
F20-F29,"Schizophrenia, schizotypal and delusional disorders",36174,36174,23332,1688,102.8,41,2003,24319,1107,48.74789259,52.48419151,FALSE
F30-F39,Mood [affective] disorders,47884,47884,31515,2544,50.6,51,2003,23171,1137,106.6548703,123.7467018,FALSE
F40-F69,"Neurotic, bahavioural & personality disorders",27761,27761,17897,2716,26.7,42,2003,,,,,FALSE
F70-F79,Mental retardation,14625,14625,2045,2476,79.3,25,2003,623,65,2247.512039,3709.230769,FALSE
F80-F99,Other mental and behavioural disorders,11614,11614,4427,1916,63,35,2003,4935,1402,135.3394124,36.66191155,FALSE
G00-G09,Inflammatory diseases of the central nervous system,4912,4912,2477,316,16.4,34,2003,7120,708,-31.01123596,-55.36723164,FALSE
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,15305,15305,5113,4192,25.3,67,2003,15816,4500,-3.230905412,-6.844444444,FALSE
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,19269,19269,3955,6804,14.1,46,2003,49768,13001,-61.2823501,-47.66556419,FALSE
G40-G47,Epilepsy migraine & other episodic disorders,95462,95462,57563,11897,4.8,48,2003,,,,,FALSE
G50-G73,G90-G99 Other diseases & disorders of the nervous syst.,93870,93870,10716,66406,9.8,54,2003,,,,,FALSE
G80-G83,Cerebral palsy & other paralytic syndromes,18227,18227,5857,3862,29.8,50,2003,13889,5162,31.23335013,-25.18403719,FALSE
H10-H13,Disorders of conjunctiva (including conjunctivitis),4784,4784,1276,3231,1.8,44,2003,5956,4018,-19.677636,-19.58685913,FALSE
H25-H28,Disorders of lens (including cataracts),315043,315043,1160,275369,1.4,75,2003,456184,436982,-30.93948933,-36.98390323,FALSE
H40-H42,Glaucoma,13095,13095,2078,10183,2.2,67,2003,24607,22414,-46.78343561,-54.56857321,FALSE
H60-H95,Diseases of the ear and mastoid process,81246,81246,13058,64434,1.8,26,2003,84407,52226,-3.744950063,23.3753303,FALSE
I00-I09,Rheumatic heart disease,5367,5367,875,2793,12.9,64,2003,10374,7223,-48.264893,-61.33185657,FALSE
I10-I15,Hypertensive diseases,27670,27670,9108,4684,7.5,62,2003,23783,2280,16.34360678,105.4385965,FALSE
I20-I25,Ischaemic heart diseases,415452,415452,174381,101757,7.2,68,2003,261119,97302,59.10446961,4.578528704,FALSE
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,29553,29553,15521,1459,10.9,63,2003,37907,4020,-22.03814599,-63.70646766,FALSE
I30-I52,Other forms of heart disease,284940,284940,142066,42261,9.6,71,2003,315197,93243,-9.599393395,-54.67649046,FALSE
I60-I69,Cerebrovascular diseases,165787,165787,79614,6830,26.1,74,2003,111035,6188,49.31057775,10.3749192,FALSE
I70-I79,"Diseases of arteries, arterioles & capillaries",72768,72768,18221,32818,11.2,69,2003,63831,32256,14.00103398,1.742311508,FALSE
I80-I89,Diseases of veins & lymphatic system nec.,152613,152613,38011,84633,4.5,53,2003,92570,44011,64.86226639,92.29965236,FALSE
I95-I99,Other & unspecified disorders of the circulatory system,15115,15115,8592,979,10.9,76,2003,31408,2880,-51.87531839,-66.00694444,FALSE
J00-J06,Acute upper respiratory infections,91266,91266,81990,5146,1.2,11,2003,161783,26977,-43.58739793,-80.92449123,FALSE
J10-J18,Influenza & pneumonia,148277,148277,90554,1498,12.9,66,2003,290880,3167,-49.02468372,-52.69971582,FALSE
J20-J22,Other acute lower respiratory infections,134774,134774,97035,1260,8.2,53,2003,180764,2259,-25.44201279,-44.22310757,FALSE
J30-J39,Other diseases of upper respiratory tract,129211,129211,10244,115371,1.4,31,2003,107638,81531,20.04217841,41.50568495,FALSE
J40-J47,Chronic lower respiratory diseases,260677,260677,169052,5237,7.6,60,2003,238267,13856,9.405414934,-62.20409931,FALSE
J60-J70,Lung diseases due to external agents,11435,11435,5937,201,18.4,71,2003,27790,730,-58.85210507,-72.46575342,FALSE
J80-J99,Other diseases of the respiratory system,65462,65462,30740,8604,10.5,62,2003,87306,24605,-25.02004444,-65.03149766,FALSE
K00-K14,"Diseases of oral cavity, salivary glands & jaws",172363,172363,8858,151421,1.8,29,2003,261727,226140,-34.14397445,-33.04103653,FALSE
K20-K31,Diseases of oesophagusstomach & duodenum,310199,310199,44449,135953,7.6,59,2003,,,,,FALSE
K35-K38,Diseases of appendix,39475,39475,34794,769,4.2,29,2003,47892,1585,-17.57496033,-51.48264984,FALSE
K40-K46,Hernia,162998,162998,16224,126164,3.3,55,2003,205256,169908,-20.58794871,-25.74569767,FALSE
K50-K52,Noninfective enteritis & colitis,138714,138714,59540,35531,6.4,46,2003,256561,128206,-45.9333258,-72.28600846,FALSE
K55-K63,Other diseases of intestines,261489,261489,97316,94454,7.1,58,2003,646953,416865,-59.58145337,-77.34182529,FALSE
K65-K67,Diseases of peritoneum,8307,8307,4023,1887,12.2,55,2003,9087,3064,-8.583690987,-38.41383812,FALSE
K70-K77,Diseases of liver,35307,35307,13767,5277,12.8,53,2003,48952,14543,-27.87424416,-63.71450182,FALSE
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",148779,148779,58559,55748,6,57,2003,213979,92559,-30.47027979,-39.77030867,FALSE
K90-K93,Other diseases of the digestive system,76709,76709,38682,8668,6.9,60,2003,137810,66278,-44.33713083,-86.92175382,FALSE
L00-L14,L55-L99 Other infections and disorders of the skin,266424,266424,98966,127025,7.8,50,2003,,,,,FALSE
L20-L30,Dermatitis and eczema,10010,10010,5159,2954,5.4,38,2003,13675,3628,-26.80073126,-18.57772878,FALSE
L40-L45,Papulosquamous disorders (including Psoriasis),12312,12312,1390,6073,13.7,48,2003,11725,5176,5.006396588,17.32998454,FALSE
L50-L54,Urticaria and erythems,4781,4781,3732,348,3.2,30,2003,10481,2209,-54.38412365,-84.24626528,FALSE
M00-M25,Arthropathies,379095,379095,36633,290759,6.6,57,2003,609032,456301,-37.75450223,-36.27912277,FALSE
M30-M36,Systemic connective tissue disorders,16160,16160,3873,5223,9.9,51,2003,27080,8801,-40.32496307,-40.65447108,FALSE
M40-M54,Dorsopathies,171324,171324,34752,90698,7,55,2003,320545,195899,-46.55227815,-53.70165238,FALSE
M60-M79,Soft tissue disorders,151174,151174,52536,81449,2.6,54,2003,248802,137373,-39.23923441,-40.70960087,FALSE
M80-M94,Osteopathies and chondropathies,45064,45064,10559,22636,9.1,52,2003,88894,37621,-49.30591491,-39.8314771,FALSE
M95-M99,Other disorders of the musculoskeletal system & conn. tiss.,4085,4085,433,3048,6.5,44,2003,10711,3885,-61.86163757,-21.54440154,FALSE
N17-N19,Renal failure,89665,89665,18569,11654,11.8,63,2003,95579,20216,-6.187551659,-42.35259201,FALSE
N20-N23,Urolithiasis,63838,63838,24193,25499,3.2,50,2003,89624,45150,-28.77131126,-43.52380952,FALSE
N25-N29,Other disorders of kidney & ureter,4182,4182,1104,1913,6.2,50,2003,6342,3525,-34.05865658,-45.73049645,FALSE
N30-N39,Other diseases of the urinary system,201488,201488,71460,76572,9.2,62,2003,272213,84232,-25.98149243,-9.093931048,FALSE
N40-N51,Diseases of male genital organs,116168,116168,22039,80491,3.3,49,2003,125265,81313,-7.262204127,-1.010908465,FALSE
N60-N64,Disorders of breast,25278,25278,3460,20575,2.2,43,2003,17983,10986,40.5660902,87.28381577,FALSE
N70-N77,Inflammatory diseases of female pelvic organs,26629,26629,11805,12632,2.7,37,2003,24358,9244,9.323425569,36.65080052,FALSE
N80-N98,Noninflammatory disorders of female genital tract,254658,254658,29447,206584,3,45,2003,209704,163170,21.43688246,26.60660661,FALSE
O00-O08,Pregnancy with abortive outcome,162676,162676,65041,71817,1.1,31,2003,122159,52756,33.16742933,36.13048753,FALSE
O80-O84,Delivery,105119,105119,310,475,1.9,28,2003,31065,215,238.3840335,120.9302326,FALSE
P00-P04,Complications of fetus/neonate affected by maternal,9313,9313,81,7,3.1,0,2003,261,1,3468.199234,600,FALSE
P05-P96,Other conditions originating in the perinatal period,170455,170455,18013,1785,6.8,0,2003,250437,2470,-31.93697417,-27.73279352,FALSE
Q00-Q89,Congenital malformations,102741,102741,8964,55599,4.1,11,2003,102677,60952,0.062331389,-8.782320515,FALSE
Q90-Q99,Chromosomal abnormalities nec.,1602,1602,235,373,11.2,13,2003,1396,450,14.75644699,-17.11111111,FALSE
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,374021,374021,267891,38806,2.7,56,2003,440918,49035,-15.17220889,-20.86060977,FALSE
R10-R19,Symptoms & signs inv. the digestive system & abdomen,359621,359621,213112,71989,3.4,45,2003,554882,231112,-35.18964392,-68.85103327,FALSE
R20-R23,Symptoms & signs inv. the skin & subcutaneous tissue,30439,30439,19261,7685,1.9,35,2003,40073,5175,-24.04112495,48.50241546,FALSE
R25-R29,Symptoms & signs inv. the nervous & musculoskeletal sys.,22363,22363,10509,2854,12.5,52,2003,105466,3769,-78.79601009,-24.27699655,FALSE
R30-R39,Symptoms & signs involving the urinary system,127498,127498,35421,62502,4.7,63,2003,107642,47671,18.44633136,31.11115773,FALSE
R40-R46,"Symptoms & signs inv. Cognition, perception etc.",47906,47906,32921,1579,10.5,71,2003,,,,,FALSE
R47-R49,Symptoms & signs inv. speech & voice,6574,6574,2226,2867,7.5,61,2003,8412,1772,-21.84973847,61.79458239,FALSE
R50-R68,General symptoms & signs,278520,278520,192015,24033,6.6,54,2003,316803,48924,-12.08416587,-50.87687025,FALSE
R70-R89,Abnormal findings of bodily fluids or samples without diag.,28232,28232,2929,18155,2.9,50,2003,35639,18325,-20.78341143,-0.927694407,FALSE
R90-R94,Abnormal findings on diagnostic imaging/function studies,20925,20925,3080,10977,4.7,61,2003,44497,29898,-52.97435782,-63.28516958,FALSE
R95-R99,Ill-defined & unknown causes of mortality,23,23,14,1,1.9,46,2003,,,,,FALSE
S00-S09,Injuries to the head,133855,133855,104623,13522,3.7,37,2003,183751,13648,-27.15413794,-0.923212192,FALSE
S10-S19,Injuries to the neck,7129,7129,5361,245,10.8,43,2003,10158,232,-29.81886198,5.603448276,FALSE
S20-S29,Injuries to the thorax,15889,15889,12328,144,9,54,2003,28420,450,-44.0921886,-68,FALSE
S30-S39,"Injuries to abdomen, lower back, lumbar spine & pelvis",30167,30167,22052,467,12.2,54,2003,41319,824,-26.9900046,-43.32524272,FALSE
S40-S49,Injuries to the shoulder & upper arm,31842,31842,24165,1928,8.1,52,2003,48240,8096,-33.99253731,-76.18577075,FALSE
S50-S59,Injuries to the elbow & forearm,66439,66439,56285,3609,3.4,37,2003,72230,14930,-8.017444275,-75.82719357,FALSE
S60-S69,Injuries to the wrist & hand,67041,67041,53708,6708,1.6,33,2003,93794,33397,-28.52314647,-79.91436357,FALSE
S70-S79,Injuries to the hip & thigh,98408,98408,68867,1326,24.2,76,2003,87752,1689,12.14331297,-21.4920071,FALSE
S80-S89,Injuries to the knee & lower leg,69342,69342,54517,4617,9.1,47,2003,78912,11458,-12.12743309,-59.7050096,FALSE
S90-S99,Injuries to the ankle & foot,13387,13387,10783,786,5.6,41,2003,18875,2883,-29.07549669,-72.73673257,FALSE
T00-T07,Injuries involving multiple body regions,1808,1808,1454,36,9.7,46,2003,4339,276,-58.33141277,-86.95652174,FALSE
T08-T14,Injuries to unspecified part of trunk limb or body,5431,5431,4261,326,5.8,49,2003,1568,47,246.3647959,593.6170213,FALSE
T15-T19,Effects of foreign body entering through natural orifice,12128,12128,8398,2527,1.2,28,2003,18660,3954,-35.00535906,-36.09003541,FALSE
T20-T32,Burns and corrosions,9556,9556,6745,423,6.3,27,2003,12909,854,-25.97412658,-50.46838407,FALSE
T33-T35,Frostbite,55,55,39,4,15.4,43,2003,46,4,19.56521739,0,FALSE
T36-T50,Poisonings by drugs medicaments & biological substances,97972,97972,84100,183,1.8,34,2003,116697,145,-16.04582808,26.20689655,FALSE
T51-T65,Tox. effcts. of substnces. chiefly non-medicinal as to source,7419,7419,6156,94,2.4,34,2003,8017,144,-7.459149308,-34.72222222,FALSE
T66-T78,Other and unspecified effects of external causes,9521,9521,7473,661,2.5,37,2003,20005,1169,-52.40689828,-43.45594525,FALSE
T80-T88,Complications of surgical & medical care nec.,135622,135622,68053,38559,8.6,56,2003,217900,75238,-37.75952272,-48.75063133,FALSE
T90-T98,Sequelae of injuriesof poisoning & other consequences,606,606,146,331,12.8,44,2003,,,,,FALSE
Z00-Z13,Examination and investigation,213375,213375,18255,77448,2.1,54,2003,313949,169841,-32.03513947,-54.39970325,FALSE
Z20-Z29,Potential health hazards related to communicable diseases,8328,8328,462,2285,1.9,15,2003,15234,4056,-45.33280819,-43.66370809,FALSE
Z30-Z39,Health services in circumstances related to reproduction,602130,602130,6064,66962,1.6,10,2003,539391,20477,11.63145103,227.0107926,FALSE
Z40-Z54,Persons encountering health services for specific care,140192,140192,11822,81673,9.5,52,2003,127826,84332,9.674088214,-3.153014277,FALSE
Z55-Z65,Potential health hazards reltd. to socioeconomic & psychosoc.l,934,934,607,113,10.5,37,2003,732,11,27.59562842,927.2727273,FALSE
Z70-Z76,Persons encountering health services in other circs.,61116,61116,10210,11241,8.6,34,2003,22958,3447,166.2078578,226.1096606,FALSE
Z80-Z99,Persons with potential health hazards related to family,13947,13947,1230,6275,10.6,48,2003,9943,1391,40.26953636,351.1143063,FALSE
A00-A09,Intestinal infectious diseases,52903,52903,40852,2244,4.6,30,2004,159034,35016,-66.73478627,-93.59150103,FALSE
A15-A19,Tuberculosis,5852,5852,2735,728,17.4,41,2004,2225,529,163.011236,37.61814745,FALSE
A20-A49,Certain bacterial diseases,33506,33506,18781,610,14.4,62,2004,156114,2491,-78.53747902,-75.51184263,FALSE
A50-A64,Infections with predominantly sexual mode of transmission,2783,2783,632,1810,3.6,37,2004,2405,1411,15.71725572,28.27781715,FALSE
A65-A79,Other infectious and parasitic disorders,309,309,151,52,6.1,39,2004,662,161,-53.32326284,-67.70186335,FALSE
A80-A89,Viral infections of the central nervous system,3071,3071,1934,100,8.8,34,2004,3913,86,-21.51801687,16.27906977,FALSE
A90-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,58,58,38,1,3.5,34,2004,192,6,-69.79166667,-83.33333333,FALSE
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,13120,13120,8082,2949,5,35,2004,17456,3352,-24.8395967,-12.02267303,FALSE
B15-B19,Viral hepatitis,6721,6721,1260,2449,4.9,42,2004,2394,532,180.7435255,360.3383459,FALSE
B20-B24,Human imrnunodeficiency virus [HIV] disease,5764,5764,2030,1070,14.8,39,2004,,,,,FALSE
B25-B34,Other viral diseases,43497,43497,40198,349,1.3,13,2004,118995,840,-63.44636329,-58.45238095,FALSE
B35-B49,Mycoses,3979,3979,1715,932,7.2,47,2004,8470,3847,-53.02243211,-75.77332987,FALSE
B50-B64,Protozoal diseases,2816,2816,1876,195,4.5,36,2004,2209,213,27.47849706,-8.450704225,FALSE
B65-B83,Helminthiases,486,486,251,119,4.2,26,2004,887,466,-45.20856821,-74.46351931,FALSE
B85-B99,Other infectious and parasitic diseases,895,895,567,76,7.7,47,2004,3536,78,-74.68891403,-2.564102564,FALSE
C00-C14,Malignant neoplasm of liporal cavity and pharynx,14533,14533,2013,7062,8.9,60,2004,,,,,FALSE
C15-C26,Malignant neoplasm of digestive organs,267554,267554,32685,80073,11.2,67,2004,268681,101300,-0.41945653,-20.95459033,FALSE
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,97209,97209,22654,23633,10.5,67,2004,115023,37403,-15.48733732,-36.81522872,FALSE
C40-C41,Malignant neoplasm of bone and articular cartilage,5540,5540,869,1650,7,28,2004,7261,1781,-23.70196943,-7.355418304,FALSE
C43-C44,Malignant neoplasms of skin,64351,64351,1225,57514,4.7,70,2004,154472,144205,-58.34131752,-60.11650081,FALSE
C45-C49,Malignant neoplasms of mesothelial and soft tissue,14415,14415,2775,4685,8,56,2004,23035,7390,-37.42131539,-36.60351827,FALSE
C51-C58,Malignant neoplasms of female genital organs,57345,57345,7140,21549,7.4,61,2004,69426,28271,-17.40126178,-23.77701532,FALSE
C60-C63,Malignant neoplasms of male genital organs,49176,49176,8242,23191,8.4,68,2004,88825,48164,-44.63720799,-51.84992941,FALSE
C64-C68,Malignant neoplasms of urinary tract,92852,92852,7362,44843,6.6,70,2004,90988,49193,2.048621796,-8.842721525,FALSE
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",19239,19239,5215,4206,11.8,38,2004,21270,6187,-9.548660085,-32.01874899,FALSE
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",233669,233669,24885,74677,9,55,2004,387191,80770,-39.65019848,-7.543642442,FALSE
D00-D48,In situ & benign neoplasms and others of uncertainty,277781,277781,14169,192807,5.3,55,2004,430698,299287,-35.5044602,-35.57789012,FALSE
D50-D64,Anaemias,149808,149808,37095,46079,6.2,59,2004,299823,136373,-50.03452037,-66.21105351,FALSE
D65-D89,Diseases of the blood and blood-forming organs,58321,58321,16005,15920,5.4,45,2004,94222,20255,-38.10256628,-21.40212293,FALSE
E00-E07,Disorders of thyroid gland,11566,11566,1983,7468,5.4,51,2004,16596,10399,-30.30850807,-28.18540244,FALSE
E10-E14,Diabetes Mellitus,71195,71195,33281,15466,9,52,2004,56931,4961,25.05489101,211.751663,FALSE
E15-E90,Endocrine nutritional and metabolic diseases,101571,101571,35590,25411,8.2,52,2004,236419,51871,-57.03771693,-51.01116231,FALSE
F00-F03,Dementia,27368,27368,11850,1959,74.6,81,2004,10270,332,166.4849075,490.060241,FALSE
F04-F09,Other organic including symptomatic mental disorders,5664,5664,3237,226,39.8,72,2004,23314,2250,-75.70558463,-89.95555556,FALSE
F10-F19,Mental and behavioural disorders due to psychoactive subst.,52624,52624,34526,4929,10.5,40,2004,50997,753,3.190383748,554.5816733,FALSE
F20-F29,"Schizophrenia, schizotypal and delusional disorders",39699,39699,24534,1806,108.3,41,2004,24319,1107,63.24273202,63.14363144,FALSE
F30-F39,Mood [affective] disorders,47916,47916,31507,2380,48.2,51,2004,23171,1137,106.792974,109.3227792,FALSE
F40-F69,"Neurotic, bahavioural & personality disorders",29291,29291,18607,2725,29.4,42,2004,,,,,FALSE
F70-F79,Mental retardation,12629,12629,1494,1547,117.4,25,2004,623,65,1927.126806,2280,FALSE
F80-F99,Other mental and behavioural disorders,9394,9394,3829,1167,72.1,33,2004,4935,1402,90.35460993,-16.7617689,FALSE
G00-G09,Inflammatory diseases of the central nervous system,5239,5239,2565,337,16.6,35,2004,7120,708,-26.41853933,-52.40112994,FALSE
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,14769,14769,4767,4097,23,67,2004,15816,4500,-6.619878604,-8.955555556,FALSE
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,19133,19133,3809,6621,14.2,46,2004,49768,13001,-61.55561807,-49.07314822,FALSE
G40-G47,Epilepsy migraine & other episodic disorders,102505,102505,61573,12831,4.5,49,2004,,,,,FALSE
G50-G73,G90-G99 Other diseases & disorders of the nervous syst.,99571,99571,11625,68953,9.3,54,2004,,,,,FALSE
G80-G83,Cerebral palsy & other paralytic syndromes,18216,18216,6079,4019,27.6,49,2004,13889,5162,31.15415077,-22.1425804,FALSE
H10-H13,Disorders of conjunctiva (including conjunctivitis),5069,5069,1282,3468,1.5,44,2004,5956,4018,-14.89254533,-13.68840219,FALSE
H25-H28,Disorders of lens (including cataracts),315293,315293,1054,270856,1.4,75,2004,456184,436982,-30.88468688,-38.01666888,FALSE
H40-H42,Glaucoma,13256,13256,1962,10394,2,67,2004,24607,22414,-46.12915024,-53.62719729,FALSE
H60-H95,Diseases of the ear and mastoid process,80953,80953,13665,63442,1.7,27,2004,84407,52226,-4.092077671,21.47589323,FALSE
I00-I09,Rheumatic heart disease,5048,5048,840,2674,13.3,65,2004,10374,7223,-51.33988818,-62.97937145,FALSE
I10-I15,Hypertensive diseases,33349,33349,9653,4339,7.5,63,2004,23783,2280,40.22200732,90.30701754,FALSE
I20-I25,Ischaemic heart diseases,421397,421397,169970,110862,7.1,68,2004,261119,97302,61.38120933,13.93599309,FALSE
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,29868,29868,14922,1557,10.6,63,2004,37907,4020,-21.2071649,-61.26865672,FALSE
I30-I52,Other forms of heart disease,295691,295691,146527,42926,9.3,71,2004,315197,93243,-6.188510677,-53.96330019,FALSE
I60-I69,Cerebrovascular diseases,172190,172190,78661,7172,25,74,2004,111035,6188,55.0772279,15.90174531,FALSE
I70-I79,"Diseases of arteries, arterioles & capillaries",72999,72999,18582,31606,11.3,69,2004,63831,32256,14.3629271,-2.015128968,FALSE
I80-I89,Diseases of veins & lymphatic system nec.,147190,147190,37413,79669,4.3,53,2004,92570,44011,59.00399698,81.02065393,FALSE
I95-I99,Other & unspecified disorders of the circulatory system,17168,17168,9716,1033,9.7,76,2004,31408,2880,-45.33876719,-64.13194444,FALSE
J00-J06,Acute upper respiratory infections,87535,87535,78135,5271,1.2,11,2004,161783,26977,-45.89357349,-80.46113356,FALSE
J10-J18,Influenza & pneumonia,161564,161564,96838,1454,12.3,66,2004,290880,3167,-44.45682068,-54.08904326,FALSE
J20-J22,Other acute lower respiratory infections,139863,139863,100028,1098,7.4,54,2004,180764,2259,-22.62673984,-51.39442231,FALSE
J30-J39,Other diseases of upper respiratory tract,128306,128306,10830,113470,1.4,31,2004,107638,81531,19.20139728,39.17405649,FALSE
J40-J47,Chronic lower respiratory diseases,275194,275194,179493,5599,7,59,2004,238267,13856,15.49815963,-59.5915127,FALSE
J60-J70,Lung diseases due to external agents,13817,13817,6862,231,18.5,72,2004,27790,730,-50.2806765,-68.35616438,FALSE
J80-J99,Other diseases of the respiratory system,71172,71172,33237,8900,10.3,62,2004,87306,24605,-18.47982956,-63.82849014,FALSE
K00-K14,"Diseases of oral cavity, salivary glands & jaws",177657,177657,10306,155114,2,29,2004,261727,226140,-32.12125612,-31.40797736,FALSE
K20-K31,Diseases of oesophagusstomach & duodenum,303015,303015,46118,129397,7.1,59,2004,,,,,FALSE
K35-K38,Diseases of appendix,41240,41240,36114,795,4.1,29,2004,47892,1585,-13.8895849,-49.84227129,FALSE
K40-K46,Hernia,161814,161814,17355,124164,3.3,55,2004,205256,169908,-21.16478934,-26.92280528,FALSE
K50-K52,Noninfective enteritis & colitis,157871,157871,70748,37731,6,46,2004,256561,128206,-38.46648555,-70.57002012,FALSE
